Campaign,Campaign Type,Campaign Daily Budget,Ad Group,Keyword,Match Type,Max CPC,Campaign Status,Ad Group Status
IOBB | Ceratocone e Esclerais,Search,18,Ceratocone,ceratocone brasília,Exact,12.00,Paused,Enabled
IOBB | Ceratocone e Esclerais,Search,18,Ceratocone,ceratocone brasília,Broad,12.00,Paused,Enabled
IOBB | Ceratocone e Esclerais,Search,18,Ceratocone,ceratocone df,Phrase,12.00,Paused,Enabled
IOBB | Ceratocone e Esclerais,Search,18,Ceratocone,especialista em ceratocone,Phrase,20.00,Paused,Enabled
IOBB | Ceratocone e Esclerais,Search,18,Ceratocone,médico especialista em ceratocone,Phrase,20.00,Paused,Enabled
IOBB | Ceratocone e Esclerais,Search,18,Ceratocone,especialista em ceratocone df,Phrase,18.00,Paused,Enabled
IOBB | Ceratocone e Esclerais,Search,18,Ceratocone,oftalmologista ceratocone brasília,Phrase,15.00,Paused,Enabled
IOBB | Ceratocone e Esclerais,Search,18,Ceratocone,tratamento ceratocone brasília,Phrase,12.00,Paused,Enabled
IOBB | Ceratocone e Esclerais,Search,18,Ceratocone,ceratocone,Broad,12.00,Paused,Enabled
IOBB | Ceratocone e Esclerais,Search,18,Lente Escleral,lente escleral,Phrase,16.00,Paused,Enabled
IOBB | Ceratocone e Esclerais,Search,18,Lente Escleral,lente escleral,Broad,15.00,Paused,Enabled
IOBB | Ceratocone e Esclerais,Search,18,Lente Escleral,lente escleral brasília,Phrase,16.00,Paused,Enabled
IOBB | Ceratocone e Esclerais,Search,18,Lente Escleral,lente escleral df,Phrase,16.00,Paused,Enabled
IOBB | Ceratocone e Esclerais,Search,18,Lente Escleral,lente escleral preço,Exact,14.00,Paused,Enabled
IOBB | Ceratocone e Esclerais,Search,18,Lente Escleral,quanto custa uma lente escleral,Phrase,12.00,Paused,Enabled
IOBB | Ceratocone e Esclerais,Search,18,Lente Escleral,onde adaptar lente escleral,Phrase,15.00,Paused,Enabled
IOBB | Ceratocone e Esclerais,Search,18,Lente Escleral,adaptação de lente escleral,Phrase,15.00,Paused,Enabled
IOBB | Ceratocone e Esclerais,Search,18,Lente de Contato Ceratocone,lente de contato para ceratocone,Phrase,14.00,Paused,Enabled
IOBB | Ceratocone e Esclerais,Search,18,Lente de Contato Ceratocone,lente rígida para ceratocone,Phrase,14.00,Paused,Enabled
IOBB | Ceratocone e Esclerais,Search,18,Lente de Contato Ceratocone,lente gelatinosa para ceratocone,Phrase,12.00,Paused,Enabled
IOBB | Ceratocone e Esclerais,Search,18,Lente de Contato Ceratocone,lente para ceratocone,Phrase,14.00,Paused,Enabled
IOBB | Ceratocone e Esclerais,Search,18,Lente de Contato Ceratocone,lente de contato rígida brasília,Phrase,12.00,Paused,Enabled
IOBB | Ceratocone e Esclerais,Search,18,Lente de Contato Ceratocone,contactologia brasília,Phrase,12.00,Paused,Enabled
IOBB | Ceratocone e Esclerais,Search,18,Lente de Contato Ceratocone,adaptação de lente de contato,Broad,10.00,Paused,Enabled
IOBB | Ceratocone e Esclerais,Search,18,Anel e Crosslinking,crosslinking,Exact,8.00,Paused,Enabled
IOBB | Ceratocone e Esclerais,Search,18,Anel e Crosslinking,crosslinking corneano,Phrase,8.00,Paused,Enabled
IOBB | Ceratocone e Esclerais,Search,18,Anel e Crosslinking,crosslinking ceratocone,Phrase,10.00,Paused,Enabled
IOBB | Ceratocone e Esclerais,Search,18,Anel e Crosslinking,anel de ferrara,Phrase,10.00,Paused,Enabled
IOBB | Ceratocone e Esclerais,Search,18,Anel e Crosslinking,anel de ferrara valor,Exact,10.00,Paused,Enabled
IOBB | Ceratocone e Esclerais,Search,18,Anel e Crosslinking,anel intraestromal,Phrase,10.00,Paused,Enabled
IOBB | Ceratocone e Esclerais,Search,18,Anel e Crosslinking,cirurgia ceratocone preço,Phrase,12.00,Paused,Enabled
